# expected_volume_mL=112.37,sensor_cal_factor=0.00052587,source_duration_s=25.00
time_s,mass_g,filt_mass_g,filt_inflow_g_s,kz_flow_g_s,cum_volume_g,cum_volume_mL,zone,is_roi
19.72519087791443,78.058898241,78.56155846963146,5.1520618491837755,4.668174627645521,81.54260677769753,81.68964814435738,voiding,1
19.763041973114014,79.933624791,78.69463573128448,5.271764798069536,4.641833308455436,81.54908346181065,81.6961365075242,voiding,1
19.764253854751587,79.657543041,78.83124651423383,5.416876587890883,4.615521263731155,81.74656067593251,81.89396982161142,voiding,1
19.80017399787903,78.832453011,78.97246292245107,5.57847014117035,4.589239956088084,81.95936195540287,82.10715483410426,voiding,1
19.837759971618652,78.65839004099999,79.1192316384049,5.744970935255019,4.562990990951697,82.17953194860013,82.3277218479264,voiding,1
19.87556505203247,78.481171851,79.27225029638136,5.902669582223527,4.53677615193023,82.18514954053302,82.33334956975858,voiding,1
19.876506090164185,79.513454661,79.43182501455117,6.036468149961542,4.5105974225680745,82.40511520292961,82.55371188432139,voiding,1
19.912662982940674,80.77396505099999,79.59774552659566,6.130819772501857,4.484456994674398,82.64595018630206,82.79498115237634,voiding,1
19.951817989349365,79.17952721099999,79.76919821707877,6.170799124385584,4.458357264276833,83.0985208165656,83.24836787874735,voiding,1
20.025322914123535,79.724854401,79.94471966914746,6.143222872207744,4.4323008169686675,83.10473282478236,83.2545910887421,voiding,1
20.02634286880493,80.090334051,80.12219166321601,6.037726595585288,4.406290404945907,83.10655773177766,83.25641928649334,voiding,1
20.026649951934814,79.80794186099999,80.29888688379087,5.8476999727617,4.380328918332408,83.31339549026734,83.4636300243111,voiding,1
20.062877893447876,80.889656451,80.471575927528,5.570986811587778,4.354419353452523,83.51482127312406,83.66541902737333,voiding,1
20.10024380683899,79.98989288099999,80.63669493980828,5.210271537344702,4.328564780539484,83.69879093145111,83.84972042822191,voiding,1
20.137099027633667,81.846739851,80.79055678608066,4.773098761911845,4.302768312993859,83.70431132016672,83.85525077155553,voiding,1
20.138319730758667,81.251980881,80.92957608172156,4.2715061097489135,4.277033079777595,83.85251034231408,84.00371703297343,voiding,1
20.175402879714966,80.677204971,81.05047606388631,3.7212898807968653,4.251362201906659,83.98068073205914,84.13211854544093,voiding,1
20.21275806427002,80.52522854099999,81.15045656599355,3.1409645169114095,4.225758773356878,83.98378544403289,84.13522885597365,voiding,1
20.21384906768799,81.816239391,81.22732162067007,2.5505153127928426,4.20022584609147,84.06534361284551,84.2169340942151,voiding,1
20.249932050704956,80.69455868099999,81.27957795826383,1.9700737290982737,4.174766418416084,84.19349495642486,84.34531652617197,draining,1
20.325565814971924,82.46043014099999,81.3065135665058,1.4186599884781963,4.149383425516776,84.19503074801236,84.34685508716926,draining,1
20.32688307762146,80.61515231099999,81.30825648678234,0.9131325178044408,4.124079730869861,84.21973681669685,84.3716057069694,draining,1
20.36267375946045,80.769232221,81.285811203909,0.4674541273812635,4.098858117241762,84.23034087798933,84.38222888999132,draining,1
20.400559902191162,80.997985671,81.24107501341025,0.09233161633241456,4.07372127621313,84.23027149332762,84.382159380212,draining,1
20.401793956756592,81.749453901,81.17683852343475,-0.20478152520837486,4.0486717955359515,84.21902108747977,84.37088868711659,draining,1
20.437842845916748,81.69844451099999,81.09676385741045,-0.41939337226831946,4.023712144120636,84.20087832590669,84.35271320968413,draining,1
20.475292921066284,81.321395721,81.00531859771779,-0.5495105084658951,3.998844654994653,84.17937790703702,84.33117402027352,draining,1
20.51285982131958,80.027229651,80.90764107778416,-0.5951364400281373,3.9740715071121646,84.17846237335226,84.33025683565644,draining,1
20.514447927474976,80.41374410099999,80.80932954745074,-0.5578515786230758,3.9493947073612987,84.16040560535733,84.3121675068697,draining,1
20.550618886947632,81.56171831099999,80.71616883618974,-0.44056086374426057,3.9248160744548555,84.14756083549142,84.29929957472592,draining,1
20.587957859039307,81.52017458099999,80.63381473728414,-0.2474478920606151,3.9003372265558474,84.14743114562783,84.29916965099963,draining,1
20.589077949523926,80.122937991,80.56745056446594,0.015877558473302356,3.875959574453093,84.15389587169602,84.30564603455822,draining,1
20.62519598007202,79.491368121,80.52143224318313,0.34210021440565236,3.851684321855972,84.17389073222208,84.3256769507334,draining,1
20.66278076171875,80.697188031,80.49895598500831,0.7218868383326198,3.827512473935705,84.20895944313777,84.36080889915625,draining,1
20.700376987457275,80.722955661,80.50179830116741,1.143657387281787,3.8034448546380117,84.21078378949613,84.3626365352596,draining,1
20.701709985733032,80.940139971,80.53017343700431,1.5935499918149634,3.7794821325824555,84.34508732678665,84.49718225484538,draining,1
20.775316953659058,79.317305151,80.58273489395741,2.0556571708953637,3.7556248546133997,84.34723675922446,84.49933556323829,draining,1
